goals_scored,assists,total_points,minutes,goals_conceded,bonus,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,season,full_name,position
0,4,91,1960,25,9,7,0,3,4.9,53,2024-2025,Ederson Santana de Moraes,0
7,3,100,1682,24,10,5,0,2,4.7,91,2024-2025,Phil Foden,2
1,1,37,709,9,4,2,0,3,0.2,64,2024-2025,Jack Grealish,2
5,0,129,2918,40,11,10,0,2,27.2,63,2024-2025,Joško Gvardiol,1
21,3,171,2480,38,26,7,0,2,22.2,148,2024-2025,Erling Haaland,3
6,2,101,1955,28,13,8,0,5,1.3,54,2024-2025,Mateo Kovačić,2
1,2,59,1806,27,1,4,1,3,3.6,43,2024-2025,Rico Lewis,1
1,5,67,1400,18,6,7,0,4,0.1,49,2024-2025,Matheus Luiz Nunes,2
0,0,35,1099,18,0,3,0,1,0.7,52,2024-2025,Stefan Ortega Moreno,0
0,0,65,1909,20,2,8,0,4,3.1,54,2024-2025,Rúben Gato Alves Dias,1
2,0,29,544,11,2,1,0,1,1.0,53,2024-2025,John Stones,1
0,0,13,966,21,0,0,0,3,2.6,51,2024-2025,Kyle Walker,1
1,11,104,1730,25,15,8,0,3,2.5,62,2024-2025,Sávio 'Savinho' Moreira de Oliveira,2
2,0,29,454,3,4,3,0,0,0.2,49,2024-2025,Nico O'Reilly,2
0,5,74,1961,28,2,7,0,1,0.5,63,2024-2025,Ilkay Gündogan,2
0,0,14,503,6,0,2,0,1,0.4,50,2024-2025,Abdukodir Khusanov,1
6,1,60,915,12,10,5,0,0,23.9,77,2024-2025,Omar Marmoush,3
0,1,21,648,6,0,5,0,3,0.0,60,2024-2025,Nico González,2
6,7,107,1591,25,14,6,0,3,3.8,53,2024-2025,Amad Diallo,2
8,11,160,2667,43,25,9,2,2,17.3,85,2024-2025,Bruno Borges Fernandes,2
1,0,42,1266,19,3,4,0,3,0.4,46,2024-2025,Carlos Henrique Casimiro,2
0,4,94,2787,45,9,8,0,5,5.5,50,2024-2025,Diogo Dalot Teixeira,1
0,1,33,987,14,0,4,0,4,0.2,52,2024-2025,Christian Eriksen,2
5,3,90,1957,30,4,5,0,2,4.7,59,2024-2025,Alejandro Garnacho,2
3,1,63,1648,27,5,5,0,2,1.0,69,2024-2025,Rasmus Højlund,3
